date,sex,confirmed
2020-03-02,male,1591
2020-03-02,female,2621
2020-03-03,male,1810
2020-03-03,female,3002
2020-03-04,male,1996
2020-03-04,female,3332
2020-03-05,male,2149
2020-03-05,female,3617
2020-03-06,male,2345
2020-03-06,female,3939
2020-03-07,male,2522
2020-03-07,female,4245
2020-03-08,male,2694
2020-03-08,female,4440
2020-03-09,male,2799
2020-03-09,female,4583
2020-03-10,male,2852
2020-03-10,female,4661
2020-03-11,male,2947
2020-03-11,female,4808
2020-03-12,male,2994
2020-03-12,female,4875
2020-03-13,male,3043
2020-03-13,female,4936
2020-03-14,male,3100
2020-03-14,female,4986
2020-03-15,male,3136
2020-03-15,female,5026
2020-03-16,male,3169
2020-03-16,female,5067
2020-03-17,male,3200
2020-03-17,female,5120
2020-03-18,male,3240
2020-03-18,female,5173
2020-03-19,male,3296
2020-03-19,female,5269
2020-03-20,male,3330
2020-03-20,female,5322
2020-03-21,male,3387
2020-03-21,female,5412
2020-03-22,male,3430
2020-03-22,female,5467
2020-03-23,male,3457
2020-03-23,female,5504
2020-03-24,male,3497
2020-03-24,female,5540
2020-03-25,male,3550
2020-03-25,female,5587
2020-03-26,male,3598
2020-03-26,female,5643
2020-03-27,male,3638
2020-03-27,female,5694
2020-03-28,male,3736
2020-03-28,female,5742
2020-03-29,male,3799
2020-03-29,female,5784
2020-03-30,male,3834
2020-03-30,female,5827
2020-03-31,male,3905
2020-03-31,female,5881
2020-04-01,male,3946
2020-04-01,female,5941
2020-04-02,male,3979
2020-04-02,female,5997
2020-04-03,male,4013
2020-04-03,female,6049
2020-04-04,male,4052
2020-04-04,female,6104
2020-04-05,male,4098
2020-04-05,female,6139
2020-04-06,male,4118
2020-04-06,female,6166
2020-04-07,male,4138
2020-04-07,female,6193
2020-04-08,male,4163
2020-04-08,female,6221
2020-04-09,male,4185
2020-04-09,female,6238
2020-04-10,male,4200
2020-04-10,female,6250
2020-04-11,male,4215
2020-04-11,female,6265
2020-04-12,male,4229
2020-04-12,female,6283
2020-04-13,male,4243
2020-04-13,female,6294
2020-04-14,male,4256
2020-04-14,female,6308
2020-04-15,male,4266
2020-04-15,female,6325
2020-04-16,male,4272
2020-04-16,female,6341
2020-04-17,male,4286
2020-04-17,female,6349
2020-04-18,male,4293
2020-04-18,female,6360
2020-04-19,male,4297
2020-04-19,female,6364
2020-04-20,male,4302
2020-04-20,female,6372
2020-04-21,male,4308
2020-04-21,female,6375
2020-04-22,male,4314
2020-04-22,female,6380
2020-04-23,male,4318
2020-04-23,female,6384
2020-04-24,male,4323
2020-04-24,female,6385
2020-04-25,male,4327
2020-04-25,female,6391
2020-04-26,male,4333
2020-04-26,female,6395
2020-04-27,male,4337
2020-04-27,female,6401
2020-04-28,male,4344
2020-04-28,female,6408
2020-04-29,male,4348
2020-04-29,female,6413
2020-04-30,male,4352
2020-04-30,female,6413
2020-05-01,male,4356
2020-05-01,female,6418
2020-05-02,male,4362
2020-05-02,female,6418
2020-05-03,male,4369
2020-05-03,female,6424
2020-05-04,male,4375
2020-05-04,female,6426
2020-05-05,male,4377
2020-05-05,female,6427
2020-05-06,male,4379
2020-05-06,female,6427
2020-05-07,male,4382
2020-05-07,female,6428
2020-05-08,male,4389
2020-05-08,female,6433
2020-05-09,male,4406
2020-05-09,female,6434
2020-05-10,male,4430
2020-05-10,female,6444
2020-05-11,male,4461
2020-05-11,female,6448
2020-05-12,male,4481
2020-05-12,female,6455
2020-05-13,male,4499
2020-05-13,female,6463
2020-05-14,male,4516
2020-05-14,female,6475
2020-05-15,male,4532
2020-05-15,female,6486
2020-05-16,male,4544
2020-05-16,female,6493
2020-05-17,male,4549
2020-05-17,female,6501
2020-05-18,male,4560
2020-05-18,female,6505
2020-05-19,male,4569
2020-05-19,female,6509
2020-05-20,male,4592
2020-05-20,female,6518
2020-05-21,male,4601
2020-05-21,female,6521
2020-05-22,male,4616
2020-05-22,female,6526
2020-05-23,male,4628
2020-05-23,female,6537
2020-05-24,male,4643
2020-05-24,female,6547
2020-05-25,male,4651
2020-05-25,female,6555
2020-05-26,male,4664
2020-05-26,female,6561
2020-05-27,male,4680
2020-05-27,female,6585
2020-05-28,male,4727
2020-05-28,female,6617
2020-05-29,male,4759
2020-05-29,female,6643
2020-05-30,male,4780
2020-05-30,female,6661
2020-05-31,male,4795
2020-05-31,female,6673
