date,time,province,confirmed,released,deceased,Tconfirmed
2020-01-31,16,Seoul,4,0,0,4
2020-01-31,16,Busan,0,0,0,0
2020-01-31,16,Daegu,0,0,0,0
2020-01-31,16,Incheon,1,0,0,1
2020-01-31,16,Gwangju,0,0,0,0
2020-01-31,16,Daejeon,0,0,0,0
2020-01-31,16,Ulsan,0,0,0,0
2020-01-31,16,Sejong,0,0,0,0
2020-01-31,16,Gyeonggi-do,5,0,0,5
2020-01-31,16,Gangwon-do,0,0,0,0
2020-01-31,16,Chungcheongbuk-do,0,0,0,0
2020-01-31,16,Chungcheongnam-do,0,0,0,0
2020-01-31,16,Jeollabuk-do,1,0,0,1
2020-01-31,16,Jeollanam-do,0,0,0,0
2020-01-31,16,Gyeongsangbuk-do,0,0,0,0
2020-01-31,16,Gyeongsangnam-do,0,0,0,0
2020-01-31,16,Jeju-do,0,0,0,0
2020-02-29,16,Seoul,73,9,0,77
2020-02-29,16,Busan,80,0,0,80
2020-02-29,16,Daegu,2236,3,10,2236
2020-02-29,16,Incheon,5,1,0,6
2020-02-29,16,Gwangju,9,2,0,9
2020-02-29,16,Daejeon,13,0,0,13
2020-02-29,16,Ulsan,17,0,0,17
2020-02-29,16,Sejong,1,0,0,1
2020-02-29,16,Gyeonggi-do,77,8,1,82
2020-02-29,16,Gangwon-do,7,0,0,7
2020-02-29,16,Chungcheongbuk-do,10,0,0,10
2020-02-29,16,Chungcheongnam-do,55,0,0,55
2020-02-29,16,Jeollabuk-do,4,1,0,5
2020-02-29,16,Jeollanam-do,3,0,0,3
2020-02-29,16,Gyeongsangbuk-do,488,1,6,488
2020-02-29,16,Gyeongsangnam-do,59,1,0,59
2020-02-29,16,Jeju-do,2,0,0,2
2020-03-31,0,Seoul,373,107,0,450
2020-03-31,0,Busan,39,87,3,119
2020-03-31,0,Daegu,4448,3946,104,6684
2020-03-31,0,Incheon,58,16,0,64
2020-03-31,0,Gwangju,11,14,0,20
2020-03-31,0,Daejeon,23,18,0,36
2020-03-31,0,Ulsan,22,19,0,39
2020-03-31,0,Sejong,45,12,0,46
2020-03-31,0,Gyeonggi-do,394,166,5,476
2020-03-31,0,Gangwon-do,29,23,1,36
2020-03-31,0,Chungcheongbuk-do,34,22,0,44
2020-03-31,0,Chungcheongnam-do,73,90,0,128
2020-03-31,0,Jeollabuk-do,8,7,0,13
2020-03-31,0,Jeollanam-do,6,3,0,9
2020-03-31,0,Gyeongsangbuk-do,812,808,32,1300
2020-03-31,0,Gyeongsangnam-do,37,67,0,96
2020-03-31,0,Jeju-do,7,3,0,9
2020-04-30,0,Seoul,183,453,2,633
2020-04-30,0,Busan,18,116,0,137
2020-04-30,0,Daegu,168,6144,58,6852
2020-04-30,0,Incheon,29,68,0,93
2020-04-30,0,Gwangju,10,27,0,30
2020-04-30,0,Daejeon,4,35,0,40
2020-04-30,0,Ulsan,4,37,1,43
2020-04-30,0,Sejong,0,38,0,46
2020-04-30,0,Gyeonggi-do,200,486,9,676
2020-04-30,0,Gangwon-do,17,40,1,53
2020-04-30,0,Chungcheongbuk-do,1,41,0,45
2020-04-30,0,Chungcheongnam-do,15,127,0,143
2020-04-30,0,Jeollabuk-do,5,11,0,18
2020-04-30,0,Jeollanam-do,6,11,0,15
2020-04-30,0,Gyeongsangbuk-do,65,1147,14,1365
2020-04-30,0,Gyeongsangnam-do,21,97,0,117
2020-04-30,0,Jeju-do,4,8,0,13
2020-05-31,0,Seoul,228,627,2,861
2020-05-31,0,Busan,10,138,0,147
2020-05-31,0,Daegu,31,6607,13,6883
2020-05-31,0,Incheon,113,94,0,206
2020-05-31,0,Gwangju,2,30,0,32
2020-05-31,0,Daejeon,6,42,1,46
2020-05-31,0,Ulsan,9,45,0,52
2020-05-31,0,Sejong,1,47,0,47
2020-05-31,0,Gyeonggi-do,164,650,4,840
2020-05-31,0,Gangwon-do,4,50,1,57
2020-05-31,0,Chungcheongbuk-do,15,49,0,60
2020-05-31,0,Chungcheongnam-do,3,142,0,146
2020-05-31,0,Jeollabuk-do,3,19,0,21
2020-05-31,0,Jeollanam-do,4,17,0,19
2020-05-31,0,Gyeongsangbuk-do,14,1295,2,1379
2020-05-31,0,Gyeongsangnam-do,6,121,0,123
2020-05-31,0,Jeju-do,2,13,0,15
